tweet_id,message,thread_context,true_brand_reply,true_intent,classifier_confidence,escalate_label,escalate_reason
2190726,"Thanks for the reply. It was popping up with ""Can't play this track"" blue box on every song for a while, but now it seems to have stopped. I'm on a PC running Win 7.",,"Got it. Could you send us a DM with your account's username or email address? Also, is this happening on other devices? /CP <URL>",playback_issue,0.95,0,No hard-rule triggers; auto-handle.
1855974,"But I just wanna know, is it 192 during bluetooth streaming or will it be 320 if i set to extreme?",,"When you connect to a speaker using Bluetooth or Connect, the default audio quality will be 320 kbit/s. Hope this clears things up /PL",playback_issue,0.85,0,No hard-rule triggers; auto-handle.
1289170,My songs won't play...,[Customer]: yall app trippin pls fix it [Brand]: Hey there! What’s happening exactly? Can you tell us more about it? We'll see what we can suggest /JE,"Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using? /JE",playback_issue,0.98,0,No hard-rule triggers; auto-handle.
1281606,Just tried on my tablet. Songs played fine. Went back to phone. Makes a skip like every 2 seconds.,,Got it. Could you DM us your username and email address? We'll take a look backstage /JQ <URL>,playback_issue,0.95,0,No hard-rule triggers; auto-handle.
490791,"Hey, why the premium promo at 99$ a year is not eligible in Quebec? Thank you.",,"Hey Roch. Currently, we’re not able to offer the $99 Premium promo in Quebec due to circumstances outside our control. We hope to be able to make it available in the future! /K",account_billing,0.92,0,No hard-rule triggers; auto-handle.
2344407,"Is there any way to force switch my account from premium to free? I'm trying to sign up for the NY Times/Spotify offer. I already cancelled my premium, but there's a few days left from my last billing cycle, so I can't sign up for the NY Times offer.",,"Hi John, help's here! Can you DM us your account's email address? We'll take a look backstage /DV <URL>",account_billing,0.95,0,No hard-rule triggers; auto-handle.
2929,129 pesos is for 3months??,,Hi there! Could you send us a DM with your account's email address? We'll check this out for you /NJ <URL>,account_billing,0.95,0,No hard-rule triggers; auto-handle.
189853,"Hey , do you think there might be a Hulu no-commercial upgrade available for the deal in the future?",,"Hey there! We don't have any info on this right now. Don't worry, we'll let everyone know once we have something to announce 🙂 /PB",account_billing,0.88,0,No hard-rule triggers; auto-handle.
1799635,My email and Spotify were hacked. The hacker changed the passwords to both. Can you recover my account or cancel my premium.,,Hey Erin! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN <URL>,account_billing,0.95,1,Possible account compromise or security issue.
1113260,Hey I am a college student and It can't confirm that I'm a college students could you please help.,,Hey there! We've just sent a DM your way. Let's carry on chatting there /RK,account_billing,0.95,0,No hard-rule triggers; auto-handle.
2118763,"got logged out of my account on my phone, can't remember password. Don't have access to old email address for reset. Help?😭",,"Hey Chris, help's here! Can you DM us your account's email address or username? We'll see what we can suggest /JE <URL>",account_billing,0.95,0,No hard-rule triggers; auto-handle.
1615636,Can you give any information on parental controls for Spotify Family. Want to open the world of music to kids without explicit,,"Hey! We have no info on this, but you can support the idea by adding your vote at <URL> /CB",account_billing,0.85,0,No hard-rule triggers; auto-handle.
2065168,I've been charged twice in a month and have not received my student discount that I was approved for.,,"Hey there, help's arrived! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV <URL>",account_billing,0.96,0,No hard-rule triggers; auto-handle.
2114179,had een vraag ik heb nog een facebook accoount spotify staat nu steeds ingelogd met (cont) <URL>,,"Hey there! We can help out in English via Twitter, but we also have Dutch support via email at <URL> 🙂 /JI",account_billing,0.92,0,No hard-rule triggers; auto-handle.
1270533,"I see that if you’re a student you can get spotify and hulu for 4.99 I’m not a student so i pay the full 9.99 can I also get hulu with spotify for the one price, and if so how?",,"Hi Bryan! We're afraid you can get the Hulu bundle when you're subscribed to the student discount only. Users on the regular Premium won't be eligible for the offer, but we'll be sure to pass your feedback on to the right folks. Let us know if you have any questions /NY",account_billing,0.92,0,No hard-rule triggers; auto-handle.
2823488,"Hello, I've got a problem to join a Spotify family account, error message: ""600 - Oups ! Une erreur s'est produite. Réessayez plus tard."" Can you help me?",,Hey there! Could you send us a DM with your account's email address as well as the plan owner's? We'll take a look backstage /MA <URL>,account_billing,0.95,0,No hard-rule triggers; auto-handle.
1780214,I changed my password to FB I don't understand how they logged onto Spotify and didn't hack my Facebook. Spotify has serious security stuff,,"Hey Felicia, help's here! Could you DM us the email address linked to your account? We'll help you out backstage 🔍 /T <URL>",account_billing,0.89,0,No hard-rule triggers; auto-handle.
1582859,why did u charge me for student plan???? can’t even access premium after the charge,,"Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /JN <URL>",account_billing,0.95,0,No hard-rule triggers; auto-handle.
118893,"My account spotify is premium, why my account spotify have a advertaising? why? Please respon",,Got it. Can you DM us your account's email address? We'll take a look under the hood /AN <URL>,account_billing,0.95,0,No hard-rule triggers; auto-handle.
2349687,"Hi for some strange reason i was charged 14.99 for premium and headspace this month, i havent changed anything and all previous months it has been 4.99 as i am a student. I have changed it back to student now but dont know why it had changed?",,Hi Owen! That doesn't sound good. Can you DM us your account's username or email address? We'll take a look under the hood /DN <URL>,account_billing,0.98,0,No hard-rule triggers; auto-handle.
2747458,the money has come out of my account but the verification on my account still says free? I have no payment invoices either?,,We've just sent you a bit more info over DM. We'll carry on helping out there /CE,account_billing,0.95,0,No hard-rule triggers; auto-handle.
506027,How can I purchase the $99 yearly sub with gift cards?,,"Hi Jacob! You'll need to use a recurring payment method that's available when signing up for a standard Spotify subscription, such as PayPal or a debit/credit card. Hope this clears things up /WW",account_billing,0.95,0,No hard-rule triggers; auto-handle.
2758312,i just bought premium 5 days ago for 9.99 CAD and now you are offering 3 months for 0.99. How can I accept this offer?,,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /AR <URL>,account_billing,0.95,0,No hard-rule triggers; auto-handle.
1099878,I hate to only tweet issues but why did I get an ad on premium?,,Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF <URL>,account_billing,0.94,0,No hard-rule triggers; auto-handle.
2878315,"Look, I've been working with hulu support for a few hours and they keep referring me back to you. I can't get my spotify student plan to let me get hulu, and I'm tired of being thrown back and forth.",,"Hey, we understand how you feel about it. Can you DM us your account's email address or username so we can take a look? We'll be right here waiting /AY <URL>",account_billing,0.94,0,No hard-rule triggers; auto-handle.
2769846,I'm still waiting for a refund of unauthorized charges. Please respond. Thanks.,,"Hey Jennifer, help's here! Could you DM us your username or email address? We'll take a look backstage 🙂 /Q <URL>",account_billing,0.98,1,Possible account compromise or security issue.
2412643,"Trying to change country from UK, entered new card number and got a message that Spotify hasn’t launched in Canada (not true) what do I do?",,"Hey Thomas! Can you send us a screenshot of what you're seeing? Also, can you send us your account's email address? We'll take a look /SJ <URL>",account_billing,0.95,0,No hard-rule triggers; auto-handle.
743552,Ppl online complaining about iOS and desktop; desktop is working for me. Tried uninstalling and reinstalling Android app; error continues.,,Hey Ethan! We're sorry to hear that. Can you DM us your account's email address? We'll lend a hand /MV <URL>,app_device_bug,0.92,0,No hard-rule triggers; auto-handle.
539173,If I'm on android how do I control the volume through the app? I dont want to use my phones volume buttons. I want Spotify to play in the background of and have both play audio,,"Hi Keith! Right now, the mobile app's volume can be controlled via your device's volume buttons. Also, if you run another app or site that requires audio, Spotify will pause the music. Hope this clears things up /MU",app_device_bug,0.82,0,No hard-rule triggers; auto-handle.
23279,"Latest version, it only freezes when I play from the side menu on my ps4","[Customer]: Every song, and no [Brand]: Just to confirm, are you listening on PlayStation via Connect? If so, what device, operating system, and Spotify version are you using? /AY",Got it. Could you send us your account's email address or username via DM? We'll take a closer look /AY <URL>,app_device_bug,0.95,0,No hard-rule triggers; auto-handle.
1863284,iPhone 6 Plus/iOS 11.0.3 and I’m using Spotify mobile ver. 8.4.22.515,,"Thanks. Just to check, are you getting any error messages? If so, a screenshot of it will be handy. We'll take a look /NY",app_device_bug,0.85,0,No hard-rule triggers; auto-handle.
2505233,"I've cleared ""recent searches"" at least half a dozen times, hoping that more recent searches would appear...but the older searches keep reappearing, and the newest searches don't. Very frustrating, making the whole process feel like it's pointless. Hope you'll fix!",,Hey there! That's not cool. Does logging out restarting the device logging back in help? Keep us posted /CG,app_device_bug,0.92,0,No hard-rule triggers; auto-handle.
2920802,charge too much to be fucking up on my phone as often as it does,,Hey there! Everything should be running smoothly now. Let us know if you're still getting issues /GS,app_device_bug,0.91,0,No hard-rule triggers; auto-handle.
352219,sorry for slow device. latest version of Spotify on iPhone 4s,,Thanks. You can try to sort your playlists by recently added. More info here: <URL> Let us know how it goes /AY,app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
1855290,is there any reason podcast progress doesn’t sync between devices? Loving We Need to Talk About but not the lack of sync 😔,,1: Hi Paul! We're afraid you can't continue the playback of a podcast between devices. We can’t make any promises but we’ll pass your...,app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
1514548,"For a couple of days its seems impossible to access your site, something wrong ? thanks",,Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: <URL> /KP,app_device_bug,0.85,0,No hard-rule triggers; auto-handle.
880105,"hi I cant log in via the app, are you having issues?",,We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,app_device_bug,0.92,0,No hard-rule triggers; auto-handle.
2904469,Its also stopping when i open,,"Gotcha. Are there any other apps that pause your music when opened? Also, were you able to test another music streaming app? /LM",app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
769312,you extension for Messenger as not working!! <URL>,,Hey there! Can you try updating your Facebook Messenger app to see if it helps? Keep us posted /AR,app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
2275384,"I am on my samsung galaxy note 4 and i am on the mobile app. I try to sign in and it says ""we are currently experiencing problems, please try again later."" I've uninstalled and reinstalled twice now.",,"Is this happening over both 3G/4G as well as WiFi? If possible, try restarting your router or connecting to a different network /DR",app_device_bug,0.95,0,No hard-rule triggers; auto-handle.
16211,why has this stopped working on PS4?? Am I messing up a setting?,,Hi there! What's happening exactly? Are you having issues loading the app? We'll see what we can suggest /NQ,app_device_bug,0.89,0,No hard-rule triggers; auto-handle.
58923,are yous getting a new format? Earlier on today I updated and the cover art was on the whole screen but now it's gone?,,Hey! We're always testing things in order to improve Spotify. There's more info here: <URL> /PB,app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
1070410,bug (web player) this happens pretty often. Play button does nothing. Reloading fixes it. <URL>,,"Hey Matteo! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH",app_device_bug,0.95,0,No hard-rule triggers; auto-handle.
1561626,"iPhone X, iOS 11.1, Sonos Controller 8.1.1. Was happening on my iPhone 7 Plus also.",,"On your Spotify app, tap Devices Available (on the Now Playing bar) select Sonos. Can you check if the songs still skip randomly? /MU",app_device_bug,0.85,0,No hard-rule triggers; auto-handle.
1160834,"Hey. Recently, every time I open Spotify on High Sierra it hangs forever. I've tried reinstalling already to no avail. Help!",,"Hi Dave, help's arrived! Can you let us know your desktop's Spotify version? Also, could you send us a screenshot of what you're seeing? /DV",app_device_bug,0.95,0,No hard-rule triggers; auto-handle.
325607,- Please work together and get Spotify's playlists working on Roku. K thx bye. <URL>,,"Hey there. We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /QI",app_device_bug,0.91,0,No hard-rule triggers; auto-handle.
1643546,how is the web app so dysfunctional,,Hey there! Can you let us know what's problems are you having with the app? We'll help out /AR,app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
263554,every time I try to link my twitter it goes to a blank page,,Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: <URL> /MO,app_device_bug,0.88,0,No hard-rule triggers; auto-handle.
160519,That did not resolve the issue my home macbook pro. My work desktop mac doesn't even have a spotify cache folder in the library directory.,,Hmm. Is it the same thing with the web player? /NY,app_device_bug,0.89,0,No hard-rule triggers; auto-handle.
79420,what is going on with this album cover? i thought it was my phone but no <URL>,,"Hey there! We've checked and everything looks good on our end. Can you let us know the device (make model), Android, and Spotify versions you're using? Also, is it the same via WiFi? We'll see what we can suggest /LP",app_device_bug,0.82,0,No hard-rule triggers; auto-handle.
1725460,Why did change Issa Album's order? Everything in whole new order bruh.,,"Hey Tyler! Can you send us the Album Link? Just tap the three dots Share Copy Link. Also, what country is your account set to? /YM",search_discovery,0.9,0,No hard-rule triggers; auto-handle.
2901239,"Ok cool, how many artists do I have to add before the suggested tracks go away? Guessing there’s no manual switch to turn it off then?",,We're afraid we don't have any info to share right now. Could you DM us your account's username or email address? We'll take a look under the hood /GU <URL>,search_discovery,0.85,0,No hard-rule triggers; auto-handle.
497714,hey! ok there's a song I listened to non stop in like July and August but I didn't add it to my playlist and now I can't find it :-( Pls help,,"Hey Grace! Do you have any other info that might help? Do you remember what playlists it might be on, or how the lyrics go? We'll do some brainstorming /TB",search_discovery,0.95,0,No hard-rule triggers; auto-handle.
1520023,Also... why do my playlists add random songs (usually by same artist as my playlist songs) on mobile (android) but not when I listen to them via the web app? Cheers,,"2: Free service. To reduce these, try adding more artists into your playlist /RA",search_discovery,0.89,0,No hard-rule triggers; auto-handle.
1935014,I really wanna know why Fifth Harmony’s I’m in Love With a Monster isn’t in your “Halloween Monster Jams” playlist <URL>,,"Hi! Our Curation team is independent use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /NY",search_discovery,0.88,0,No hard-rule triggers; auto-handle.
1190783,dying to find a song i was listening to. cant remember the name! cant get the history either! Help!?,,"Hey Lalinda! What device (make model), operating system, and app version are you using? We'll see what we can suggest /LP",search_discovery,0.92,0,No hard-rule triggers; auto-handle.
2605016,also put perfect velvet on .,,"Hi! Don't worry, we’ll have it available to you as soon as it’s available to us. More info about content here: <URL> For any other questions, you know where to reach us /DR",search_discovery,0.89,0,No hard-rule triggers; auto-handle.
2347859,When I am playing one of my playlists there are songs that will pop up “suggested” songs I think. If I skip I believe it’s counted in my skips as I have the free version. I am listening on an iPhone...,,We understand. Right now this is part of our Free service on mobile devices. But we'll pass your feedback on to the right folks /BH,search_discovery,0.85,0,No hard-rule triggers; auto-handle.
1863609,"For example, a radio station based on Scott Walker's Epizootics tends to have music much more like Walker's earlier, easygoing work.",,"Hey, thanks for reaching out! We'll take a look at this. Have you found any examples of complete mismatches whilst using the feature? /J",search_discovery,0.85,0,No hard-rule triggers; auto-handle.
2121315,Just the albums my playlists are ok.,,Thanks for clearing that up. Could you send us a DM with your account's email address? We'll take a look backstage /QI <URL>,search_discovery,0.82,0,No hard-rule triggers; auto-handle.
1180931,My Discover playlist has been trash for like 2 months now. really needs to get it together,,"2: Thanks for sharing your thoughts, we'll pass it on to the relevant folks /SY",search_discovery,0.92,0,No hard-rule triggers; auto-handle.
115305,Put Echame La Culpa on Today's Top Hits playlist.,,"Hey there! Rest assured your feedback's been noted and will be passed on to the right folks. Any questions, give us a shout /AN",search_discovery,0.82,0,No hard-rule triggers; auto-handle.
2322464,Okay -- why exactly do you think the national anthem of the GDR would be good fit for my discover weekly?,,"Hey Bjoern! Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune next week /JP",search_discovery,0.92,0,No hard-rule triggers; auto-handle.
2114199,".'s ""recently played artists"" is such total bs. I listened to about 15 seconds of a Cardi B song (it was trash) and she's now my 1 recently played artist. Despite me listening to hours of other artists? The fuck???",,"1: Hi there. We're sorry you feel that way. The Recently Played Artist shows the artists you listened to, and it's sorted to show the...",search_discovery,0.85,0,No hard-rule triggers; auto-handle.
140092,... I have literally 2 country-like songs/singers on my account out of thousands of songs ... so why is my weekly suggestions always filled up with gorram country music? ... and no way to thumbs down it ... Grrrrr Ihatecountrymusic,,"Hey Danielle! Just to check, is it on your Discover Weekly playlist? If so, Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week /MU",search_discovery,0.92,0,No hard-rule triggers; auto-handle.
2623489,I hate when a suggested song that's nothing related to what I'm listening to plays <URL>,,"2: the number of Suggested Tracks you get, try adding more artists into your playlists /LO",search_discovery,0.87,0,No hard-rule triggers; auto-handle.
642110,"oh hey, not about not liking, but in a metal band the recommendations were all pop music, thanks for checking this tho",,"No worries! We appreciate you telling us. If anything else comes up, we'll be right here 💚 /NG",search_discovery,0.91,0,No hard-rule triggers; auto-handle.
1810864,"add our single ""Just One Night "" featuring to one of your playlists??????🙊💋",,Our Curation team are independent so there's no formal submission process. Check out <URL> to help you gain visibility /SU,search_discovery,0.82,0,No hard-rule triggers; auto-handle.
2711978,"hey if i click to clear the search box i don't want to be taken to recent searches, I just want the text in the box to be gone",,"Hey there! Don't worry, we're here to help. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /MT",search_discovery,0.92,0,No hard-rule triggers; auto-handle.
528361,alo for the love of god set green day's holiday apart from boulevard of broken dreams THEY DON'T FIT IN THE SAME PLAYLISTS THEY ARE TOTALLY DIFFERENT SONGS,,"Hey there! Thanks for the feedback. Our Curation team are independent use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion 🙂 /MS",search_discovery,0.85,0,No hard-rule triggers; auto-handle.
1474909,Sometimes I feel personally offended when 's Discover Weekly doesn't get me.,,Hey Levi! Your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists 🙂 /DQ,search_discovery,0.88,0,No hard-rule triggers; auto-handle.
2466906,"My account is set to USA, but i keep searching and i think is not an issue. This google search shows the track is not in the album it was supposed to be: <URL>",,Got it. We can confirm the song was temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /MT,search_discovery,0.87,0,No hard-rule triggers; auto-handle.
1225398,- I don’t want to rearrange TRACKS - I want to rearrange PLAYLISTS. <URL>,,"Got it! Don't worry, you can click, hold, and drag playlists to rearrange them in the desktop app as well. Keep rocking 🤘 /TY",search_discovery,0.82,0,No hard-rule triggers; auto-handle.
2909822,Spotify always randomly removes all of my downloaded albums and it drives me insane. I hate you and if you actually cared you wouldn't let this happen,,"Hey Andrew! We're sorry to hear you feel that way. Is this happening only to your downloaded songs, or are your playlists affected too? If you could also DM us your account's username or email address, that'd be great. We'll check on things backstage /NH <URL>",download_offline,0.95,0,No hard-rule triggers; auto-handle.
1798364,My account randomly decides to download my entire offline library when I'm on Wi-Fi once a week. Anyone know how to stop this?,,Hey Matt! That doesn't sound good. Can you DM us your account's email address or username? We'll see what we can suggest /DD <URL>,download_offline,0.95,0,No hard-rule triggers; auto-handle.
2210902,"literally haven't had a problem with it since 2011 until this year. completely deleted all music 3 times, and now the whole concept of ""offline"" music has been revolutionized by your requiring I be online. how do you break one of your core functions?",,2: at <URL> They should help prevent this from happening again /RH,download_offline,0.95,0,No hard-rule triggers; auto-handle.
2132009,"why do you try to download over 4g when cellular download is off? please look into this, I need to kill the app as a workaround.",,Hey there! Can you let us know your device and Spotify version you're rocking? We'll see what we can suggest /DR,download_offline,0.94,0,No hard-rule triggers; auto-handle.
2616815,"Hey , why has my entire library been deleted and is downloading again? This is about the fourth time it’s happened and it’s honestly quite annoying. <URL>",,"Hey Christine, sorry to hear that. In this case, we'd suggest checking out the steps under “Downloads unexpectedly removed” at <URL> They should help with this. Let us know how everything goes /JE",download_offline,0.95,0,No hard-rule triggers; auto-handle.
1618068,It first happened after updating to ios11 then again yesterday. Both times have been in the car and both times I’ve lost 3k songs,,Thanks for the info. Can you DM us your account's email address or username? We'll take a look backstage /KM <URL>,download_offline,0.92,0,No hard-rule triggers; auto-handle.
1935564,2/2 disappeared while I was at home or out and about but not listening,"[Customer]: Galaxy A3 2016, android 6.0.1. Spotify version attached <URL> [Brand]: Cool! Can you remember the exact time date this first happened? Also, were you in offline or online mode when your songs disappeared? /NY",Hmm. Could you DM us your account's username or email address? We'll take a look under the hood /JS <URL>,download_offline,0.94,0,No hard-rule triggers; auto-handle.
1593811,why only 3333 song limit? Real shame. Thought if was bad enough its so much trouble to transfer your own music not in Spotify's library. Now i cant even download it lol what am i paying $10/mo for then,,Hey! Thanks for the feedback. We'd recommend adding your thoughts about this here: <URL> /NQ,download_offline,0.92,0,No hard-rule triggers; auto-handle.
818971,Please bring back the messaging within spotify so I can send my friends songs!,,Hey Debi! We have more information on this idea here: <URL> /TB,social_playlist,0.85,0,No hard-rule triggers; auto-handle.
2284924,can i change the order of my playlist when i have local files on it?,"[Customer]: hey, how can i change the songs' order of my playlist? [Brand]: Hi Elena! You can customize your playlists with ease. We have some more info on this for you here: <URL> 🙂 /JI","Definitely! If you're on desktop, just drag songs to change their order. It works even with local files on the playlist. Hope this helps /QI",social_playlist,0.85,0,No hard-rule triggers; auto-handle.
853079,"Hey , why is it still so complicated and unintuitive to get a playlist from a link into the desktop app?",,"2: happening exactly, that would be great. We'd be glad to help you out 🙂 /RR",social_playlist,0.85,0,No hard-rule triggers; auto-handle.
1796710,"My Spotify keeps randomly switching to some stranger's playlist, wtf?",,"Hey Charlotte, help's here! To check, what device does this occur on? Could you DM us the email linked to your account? /T <URL>",social_playlist,0.85,0,No hard-rule triggers; auto-handle.
1231170,"I don't mean a personal one, I meant a public one so everyone can see cause you're probably gonna have a few other wondering why their music isn't showing on FB anymore either",,"We understand, but no worries, we post news and updates through the link provided so we can give our users a heads-up on what's happening. If a specific topic can't be found, we're always ready to help. Let us know if there's anything else we can do for you 😉 /MS",social_playlist,0.85,0,No hard-rule triggers; auto-handle.
974977,guuuuuuys! The latest android update seems to have bricked the Share functionality! On Android 8.0,,"Hey Marc, help's here! Can you let us know your device's model and Spotify version? /JP",social_playlist,0.91,0,No hard-rule triggers; auto-handle.
2204456,"Hi - My followers had two major unexplained drops (see screen shot) earlier this year, even as my streams have climbed higher than ever before. If not for the drops, I'd have nearly 20,000 followers. Help!!! <URL>",,Hi JJ! Thanks for pointing this out. We recently had a hiccup backstage but the team's on it. You should see your followers return soon 🙂 /T,social_playlist,0.85,0,No hard-rule triggers; auto-handle.
2388990,"Btw, u still have some songs missing from 's Take Me Home Album! Wanna say something about it?!",,We understand. Fingers crossed we'll be able to have it soon. Let us know if you need anything else /NY,content_availability,0.92,0,No hard-rule triggers; auto-handle.
2453746,get some more De La Soul now,,"Hey! We’d love to have all of their stuff available, but we have some info about content here: <URL> /DF",content_availability,0.91,0,No hard-rule triggers; auto-handle.
2198150,"Hi why isn't Dr Dre's album ""Compton"" not available for streaming?",,"Hi! It all boils down to licensing agreements, but there's info about Spotify content here: <URL> /RB",content_availability,0.95,0,No hard-rule triggers; auto-handle.
419094,"please do us all a favor and put Julion Alvarez back on, some of us are out here trying to get sad to his songs",,"Hey! We’d love to have all of Julion Alvarez's stuff available again, but we have some info about content here: <URL> /NS",content_availability,0.95,0,No hard-rule triggers; auto-handle.
2925037,any progress on getting velvet album back? I sure am missing listening to that album. There are also one or two songs from various other artists that are unavailable as well. What’s the deal?,,Hey Marianne! We're afraid we don't have any info on this right now. Licensing agreements can affect music availability. Fingers crossed we'll be able to have it available to you again soon /NS,content_availability,0.95,0,No hard-rule triggers; auto-handle.
